Error percentage predicted,error_percentage
852.1533673,1334.268333
512.73772,99.5275
70.20583365,-0.376
-96.4617688,1
-119.3436123,32.84805556
258.7147382,28.862
433.17893,147.47
276.8328218,20.342
602.4503234,466.3266667
181.3159172,118.5030556
700.0433566,675.8975
441.0593599,276.1372222
405.104288,65.53166667
745.2793813,481.5183333
-47.66525219,3.618
951.9063695,1055.365833
908.8303138,2088.115
705.7638175,1020.145
306.1107318,60.99833333
136.0798925,80.80166667
202.0377917,40.81
444.6198518,274.9595833
591.0094016,308.885
103.0442355,15.22625
250.8343083,44.86166667
46.3672891,5.623
293.9103641,93.7
342.7068807,168.985
42.80679717,40.03
756.7203031,878.9108333
538.6523931,281.2294444
-13.87014928,21.73666667
189.196347,105.0338889
594.5698936,495.12
598.8898315,425.7941667
87.28337587,48.37583333
1006.423347,2111.265
335.5858968,181.9222222
298.230302,111.5691667
204.1977607,11.73333333
543.613408,521.532
-5.989719441,23.30388889
