Latency predicted,latency test
104.1796836,87
6.996959838,23
1.616541421,9
56.42630235,37
128.1652146,135
48.91721888,46
122.1144117,101
1.616541421,11
77.27759151,79
129.6234951,119
95.21231957,81
69.76850804,52
75.81931096,98
87.70323609,86
65.39366638,52
87.70323609,79
60.80114401,45
77.27759151,78
6.996959838,21
137.1325786,144
92.29575846,111
86.24495554,84
113.1470476,93
23.47340734,27
101.2631225,121
66.85194693,64
128.1652146,135
137.1325786,156
50.37549943,64
51.83377998,45
87.70323609,79
93.75403902,95
77.27759151,77
129.6234951,128
60.80114401,61
128.1652146,124
78.73587206,70
104.1796836,89
59.34286346,75
57.8845829,56
155.0673067,177
41.4081354,55
