concurrency,successful_requests,error_percentage,rate_limit,throughput,average_latency,timeout
10,134572,124.287,10000,373.8266872,12,20
10,81974,36.623,10000,227.7776852,19,60
10,61429,2.382,10000,172.7552421,21,100
10,60231,0.385,10000,169.6060238,24,140
10,188514,57.095,20000,523.6543638,14,20
10,128045,6.704,20000,385.552518,18,60
10,121059,0.883,20000,350.0839025,21,100
10,120258,0.215,20000,339.6988487,23,140
10,288821,20.342,40000,802.278327,11,20
10,248994,3.748,40000,691.9075434,17,60
10,240447,0.186,40000,670.8301714,23,100
10,240181,0.075,40000,658.819947,27,140
10,358647,-0.376,60000,996.2333647,9,20
10,310879,-13.645,60000,863.550379,17,60
10,303534,-15.685,60000,843.1218959,25,100
10,301591,-16.225,60000,823.3083333,27,140
25,276459,360.765,10000,767.9736656,25,20
25,128737,114.5616667,10000,357.6305935,37,60
25,67864,13.10666667,10000,213.8939829,40,100
25,60231,0.385,10000,172.5467448,43,140
25,239433,99.5275,20000,882.3249781,23,20
25,155942,29.95166667,20000,501.2568225,25,60
25,124112,3.426666667,20000,351.5850828,28,100
25,121200,1,20000,342.4907557,37,140
25,386396,60.99833333,40000,1073.259615,21,20
25,276543,15.22625,40000,768.1963388,27,60
25,243579,1.49125,40000,682.6612632,33,100
25,240472,0.196666667,40000,665.0332016,38,140
25,457553,27.09805556,60000,1271.019392,19,20
25,374312,3.975555556,60000,1039.720898,23,60
25,359609,-0.108611111,60000,998.830653,26,100
25,326810,-9.219444444,60000,897.58574,31,140
50,388181,546.968,10000,1361.742358,30,20
50,149004,148.34,10000,573.7565412,39,60
50,77317,28.862,10000,214.9969829,46,100
50,63449,5.748,10000,177.1457448,51,140
50,361767,201.473,20000,1471.452918,29,20
50,241105,100.921,20000,669.7454131,36,60
50,132256,10.213,20000,367.869292,45,100
50,124341,3.618,20000,348.3341224,52,140
50,591812,146.588,40000,1653.434061,27,20
50,327259,36.358,40000,909.0679289,42,60
50,252165,5.069,40000,700.7931567,48,100
50,242036,0.848,40000,673.716441,53,140
50,638477,77.355,60000,1773.458549,26,20
50,417532,15.981,60000,1159.633945,39,60
50,372050,3.347,60000,1005.655983,49,100
50,344334,-4.352,60000,1010.594006,56,140
75,710481,1084.135,10000,2235.011183,31,20
75,233860,289.7666667,10000,786.6419545,66,60
75,78197,30.32833333,10000,251.3021232,71,100
75,66373,10.62166667,10000,202.6769775,78,140
75,776988,547.49,20000,2158.198085,30,20
75,314685,162.2375,20000,887.0338059,53,60
75,134080,11.73333333,20000,393.901101,56,100
75,125877,4.8975,20000,362.0667072,60,140
75,840589,250.2454167,40000,2334.794335,29,20
75,388493,61.87208333,40000,1079.108254,56,60
75,252893,5.372083333,40000,708.840989,57,100
75,243390,1.4125,40000,680.5294591,60,140
75,817209,127.0025,60000,2269.873675,31,20
