Error percentage predicted,error_percentage test
10.90932333,5.748
453.05899,311.06
59.99440834,39.8525
178.4201028,181.9222222
320.27097,244.6083333
46.31231666,40.9975
7.180668889,3.426666667
13.768505,2.382
2105.431183,2111.265
1734.228557,2061.648333
459.6861033,469.3175
887.35757,878.9108333
0.051827019,-4.352
181.3231708,162.2375
56.34776139,27.09805556
161.8466236,190.098
4.349701666,0.883
93.541175,62.7425
1.404378806,3.347
56.73612778,50.068
14.66304917,13.10666667
141.5052833,105.0338889
1052.854342,851.145
17.56745444,10.93708333
313.7262358,289.7666667
556.0540733,770.965
73.7063175,48.37583333
523.8259033,338.8983333
278.534293,279.4394444
469.1898958,481.5183333
79.9303175,100.921
345.5994125,241.7241667
10.29343713,3.975555556
4.433660084,4.271
233.3125492,250.2454167
1355.972417,1416.593
3.375762917,5.069
118.0720825,146.588
469.6061033,546.968
-2.888437555,-9.219444444
422.9165825,368.8583333
8.8588925,3.748
