Latency predicted,average_latency
86.47589276,87
23.69840437,23
14.48268864,9
35.98542816,37
136.6818212,135
45.55391988,46
112.2056847,101
14.48268864,11
77.30831748,79
132.0467593,119
82.27711834,81
61.83503932,52
88.81861621,98
82.01694733,86
49.36824083,52
82.01694733,79
48.37728571,45
77.30831748,78
23.69840437,21
148.9185689,144
92.22734968,111
79.11783515,84
98.86222367,93
29.45653611,27
97.21348405,121
79.91320723,64
136.6818212,135
148.9185689,156
71.09880087,64
45.33055952,45
82.01694733,79
104.1799201,95
77.30831748,77
132.0467593,128
48.37728571,61
136.6818212,124
68.45957107,70
86.47589276,89
74.54869153,75
62.72452411,56
162.4601341,177
59.14285745,55
